EndPoint,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95
153,74.66424,35.03595,35.96257,13.25442,37.48819,279.9908,37.48046,189.9934,108.825,2.847547,37.73299,7678.66,371.4728,343.6626,249.8858,158.6368,98.83625,37.01645,244.7767,148.0403,268.7151,349.8481,138.3181,210.6322,305.6426,171.2269,28.28058,158.4812,341.9464,373.4686,305.6939,0.9380483,1.956333,2.153452,1.470277,80.50912,67.56631,15.02729,16.92343,17.4145,47.56891,0.7040496,57.08774,8.276359,30.61467,30.67945,14.5184,9259.263,87.1453,8053.133,74.03881,74.32666,11.32882,102.0011,64.04823,168.0094,30.01401,79.87749,136.0032,53.18069,59.71509,81.21159,102.3589,164.8467,163.0991,33.35452,35.93427,39.41962,44.64616,149.6018,59.32812,71.21844,131.4558,167.9977,184.6904,89.24897,122.3229,135.9749,146.6655,45.26104,47.09617,14.30002,9.050152,1.493197,14.78914,14.99785,11.21281,9.23138,9.258989,9.480042,1.581581,1.677879,1.795067,22.577,23.73203
153,75.0863,35.10258,36.03081,13.22393,39.30045,280.0242,37.32874,189.9937,111.3378,2.844738,38.88969,7691.479,371.4806,346.5939,249.9173,158.7718,98.89045,37.01291,246.2447,148.5089,269.296,349.6231,138.724,211.0805,306.1271,171.7801,27.89569,158.614,344.3929,373.6891,305.9034,0.9378995,1.974606,2.173575,1.477568,81.4862,68.74493,15.02787,16.92064,17.53383,47.57369,0.6921864,57.85722,8.527242,31.08926,30.68229,14.90467,9464.341,87.76807,8260.844,59.67197,73.67898,11.61935,101.9988,64.00683,167.7984,30.15164,80.23653,135.9908,53.14594,59.59429,81.30184,102.3648,164.3641,162.6331,33.04502,35.9541,39.35411,44.56638,149.0403,59.32812,71.127,131.5848,167.7842,184.3499,89.58215,122.4868,135.9595,146.7615,45.4712,47.02402,14.29989,9.050197,1.510531,14.81947,15.02774,11.25236,9.232228,9.258141,9.480655,1.599146,1.6951,1.812212,22.5824,23.73678
153,76.70231,36.03068,36.95882,13.24158,39.7263,279.9819,37.35844,189.9964,114.7365,2.860467,39.69304,7688.605,371.4841,344.9456,249.9199,158.7196,98.99697,37.03974,246.6188,149.1526,270.5578,349.8131,139.2144,212.1541,306.9872,172.4913,28.21389,158.5623,342.8932,373.3193,305.0267,0.937008,1.992738,2.194736,1.483598,82.14919,70.01391,15.02766,16.85956,17.54072,47.52496,0.6790854,58.70525,8.762103,31.63097,30.66784,15.41967,9678.479,85.70603,8482.633,72.77966,73.2024,11.92542,102.0049,63.83035,167.6894,31.2025,80.76675,136.0004,53.24647,59.47097,81.70418,102.3687,163.7922,162.0546,33.36317,36.43907,39.82404,45.00912,148.4082,59.32812,70.98621,131.7994,167.6812,184.0968,90.25324,122.8531,135.967,146.8633,45.87934,47.16014,14.29992,9.050377,1.514652,14.85066,15.0595,11.29631,9.231044,9.253938,9.480048,1.603567,1.699806,1.818101,22.58025,23.73384
153,76.742,36.03403,36.95951,13.22365,42.1489,280.0268,37.32993,190.008,118.9258,2.939921,40.12383,7688.849,371.4765,344.4669,249.8503,158.7777,98.76415,36.99416,246.4026,149.3967,271.0549,349.3314,139.2751,212.4256,307.1595,172.606,29.1777,158.6158,342.4572,373.3281,305.5504,0.9369547,1.995975,2.200045,1.484218,82.68394,71.13486,15.0283,16.84879,17.70171,47.52556,0.6681772,59.41843,8.955788,31.87707,30.65714,15.97397,9855.472,84.69267,8664.391,79.90216,73.92604,12.19026,101.9971,63.52792,166.701,31.40022,80.64388,135.9987,53.37072,59.56138,82.01538,102.376,163.0252,161.3086,34.78946,36.88325,40.31202,45.9301,147.5732,59.32812,70.76781,131.5551,166.6978,183.2072,90.3028,122.4918,135.9559,146.8615,46.01596,46.95853,14.29984,9.049396,1.512964,14.88136,15.09102,11.34014,9.229667,9.249959,9.478231,1.603307,1.699743,1.819371,22.58374,23.7353
153,76.63626,36.03247,36.95982,13.24157,41.22243,279.9667,37.33291,190.0027,119.7308,2.992203,39.63026,7668.788,371.4952,345.7312,249.9088,158.7265,98.6041,37.01789,247.0319,149.3492,271.6818,349.882,139.0401,212.4639,307.9356,172.5603,30.65148,158.576,343.6453,373.7482,302.8861,0.9370936,1.989022,2.194372,1.478507,81.95624,70.9893,15.02767,16.60582,17.81469,47.52408,0.6694267,58.89934,8.896214,31.66421,30.64956,16.10224,9911.905,81.23354,8711.251,85.02211,73.96315,12.11114,102.0022,63.4142,166.4949,31.86658,80.49734,135.9955,53.1357,59.32071,82.13942,102.373,163.1004,161.3639,36.23794,37.27491,40.56081,46.74061,147.5849,59.32812,70.71239,131.3369,166.483,183.0584,90.23817,122.4248,135.9448,146.7634,46.43443,47.02881,14.30004,9.050272,1.49634,14.88062,15.09004,11.34903,9.232915,9.249249,9.47999,1.587223,1.684085,1.804833,22.58384,23.73646
153,76.59904,36.03465,36.95862,13.17959,40.5662,280.0032,37.32434,189.9993,118.4775,2.944754,39.89988,7726.185,371.5429,343.1028,249.9215,158.7765,98.6059,37.00993,245.5198,149.2861,271.7431,349.3483,139.0948,212.2911,307.4575,172.5802,27.58759,158.6122,341.3169,373.2113,302.43,0.9363603,1.994851,2.199535,1.487501,84.28129,70.57455,15.02625,16.63098,17.64205,47.52305,0.6734141,58.80433,8.879059,31.58751,30.63782,15.81298,9939.385,83.90826,8687.081,84.85866,74.42915,12.10163,101.9986,63.69975,166.504,30.48697,80.37863,135.9975,53.43834,59.81926,81.65632,102.3835,163.2936,161.5813,33.57369,36.59614,39.90158,45.32663,147.7787,59.32812,70.87589,131.4608,166.5034,183.0659,89.9594,122.2803,135.9651,146.7761,45.8996,46.896,14.3,9.049545,1.516019,14.87949,15.09051,11.34443,9.232439,9.248856,9.479538,1.607074,1.703292,1.823271,22.57677,23.7292
153,76.549,36.03417,36.96192,13.23242,41.72262,280.0139,37.32986,190.0077,115.5805,2.915962,39.33323,7701.987,371.5793,341.8874,249.9216,158.7511,98.60381,37.01379,243.8712,149.0129,271.6395,348.8931,138.9469,212.4158,307.0695,172.2326,27.49261,158.5927,339.9152,372.7072,299.2461,0.9353585,1.974239,2.17628,1.480081,84.04595,69.90405,15.02737,16.58027,17.62446,47.52093,0.6798685,58.06331,8.726532,31.43817,30.6314,15.49124,9723.882,84.78365,8453.188,84.65276,73.71154,11.89415,101.9985,63.77358,166.4979,30.66886,80.04539,135.9941,53.50417,59.98134,81.471,102.3887,163.6397,161.9645,34.18075,36.38549,39.75331,45.44267,148.173,59.32812,70.98816,131.305,166.5033,183.2263,89.58572,122.1564,135.9688,146.7505,46.2312,47.02337,14.29977,9.049749,1.514713,14.85584,15.06687,11.29741,9.233826,9.246686,9.478957,1.605161,1.70098,1.821289,22.5834,23.73619
153,76.7439,36.03521,36.95946,13.20947,39.89125,279.984,37.29118,190.0004,114.0949,2.887408,39.23791,7705.326,371.9826,342.3321,249.9186,158.8101,98.60423,37.01589,244.8714,148.643,270.4427,349.6832,138.7628,212.0819,307.0028,171.8032,26.46545,158.6511,340.1006,372.5962,301.9159,0.937147,1.974544,2.174563,1.485097,85.50027,69.90833,15.02717,16.89699,17.60616,47.52015,0.6797727,58.62639,8.7756,31.23615,30.72802,15.65797,9859.713,87.46078,8561.692,70.99747,75.68276,11.94853,101.9997,63.92281,166.5091,30.0028,79.91112,135.9851,53.48617,59.97102,81.23518,102.3848,163.7204,162.0175,31.8861,35.70744,39.20365,44.15113,148.212,59.32812,71.02825,131.3764,166.5163,183.2672,89.51397,121.9861,135.9732,146.82,43.78614,46.93393,14.30005,9.050364,1.494759,14.86597,15.0793,11.31311,9.237075,9.254456,9.485304,1.588234,1.68536,1.80356,22.58413,23.7378
153,76.82633,36.03579,36.95833,13.22005,37.91145,279.9912,37.45478,189.9984,115.0886,2.887213,39.4215,7714.461,371.9821,342.9904,249.8768,158.707,98.61018,37.01933,245.4566,148.6404,269.8169,349.1426,138.7768,211.673,306.1776,171.8034,27.2347,158.5458,340.552,372.4877,303.0117,0.9378613,1.975408,2.175817,1.485357,84.27016,69.82101,15.02824,16.89931,17.57662,47.51871,0.680671,58.70022,8.761342,31.2371,30.75521,15.60576,9809.901,87.53964,8572.288,65.64688,75.70487,11.93223,102.0007,63.90246,166.4943,30.00715,79.93489,135.985,53.40436,59.75411,81.36226,102.3652,163.5925,161.8876,31.89897,35.87963,39.3317,44.22036,148.1576,59.32812,70.96803,131.4069,166.489,183.2575,89.53106,122.0219,135.9665,146.7984,43.84528,46.89793,14.29987,9.050035,1.49503,14.86393,15.07453,11.31362,9.233803,9.257032,9.482369,1.587669,1.685194,1.802866,22.58167,23.73459
153,76.64766,36.03648,36.9592,13.25559,38.13971,280.007,37.49738,190.0089,117.2835,2.942873,39.42104,7705.005,371.9802,342.6952,249.8827,158.6283,98.60656,37.01099,245.9986,148.9492,270.6835,349.002,138.8741,212.1585,306.6956,172.1198,27.20592,158.4613,340.2504,372.4854,302.9097,0.9362631,1.986492,2.189118,1.483717,85.02228,70.63677,15.02757,17.0369,17.46919,47.52386,0.6729631,59.14322,8.95131,31.53601,30.72581,15.81279,10081.98,86.38202,8832.194,77.2477,74.81011,12.18512,101.9988,63.82522,166.5001,30.15916,80.21722,135.9994,53.27814,59.48893,81.61582,102.3838,163.1405,161.4599,32.01496,36.23103,39.67522,44.54346,147.6659,59.32812,70.90933,131.5054,166.5068,183.1299,89.76926,122.1926,135.9787,146.8319,44.35843,46.83264,14.30007,9.05002,1.512578,14.89421,15.10504,11.36722,9.233183,9.255374,9.481149,1.604533,1.701291,1.819577,22.58424,23.73641
